Neighborhood,n,MdAE_$,MdAPE_%
NPkVill,9,3469.32,2.34
Gilbert,79,6181.77,3.31
NAmes,225,6646.07,4.64
Sawyer,74,7662.05,5.47
Mitchel,49,8084.19,4.93
MeadowV,17,8399.3,7.25
BrDale,16,8715.75,8.51
Blueste,2,8931.44,6.63
CollgCr,150,9244.79,4.71
SawyerW,59,9548.78,4.62
NWAmes,73,9691.73,4.62
Somerst,86,10306.24,5.33
BrkSide,58,10786.6,9.2
OldTown,113,11017.08,8.45
Edwards,100,11125.31,9.03
IDOTRR,37,12986.47,11.81
Timber,38,13832.03,6.33
Blmngtn,17,14816.81,9.2
SWISU,25,14819.07,9.34
ClearCr,28,17299.33,10.22
Veenker,11,17505.93,8.2
NridgHt,77,18517.2,5.85
NoRidge,41,18910.1,6.52
Crawfor,51,19196.29,10.64
StoneBr,25,21508.55,7.82
