feature,importance_mean,importance_std,fold
MSSubClass,0.025201832540795555,0.001580040850463943,0
MSZoning,0.020909574244532124,0.0013121574753635723,0
LotFrontage,0.004126421687699324,0.00035048791754072647,0
LotArea,0.007463888397803924,0.000336849728366685,0
Street,0.0,0.0,0
Alley,0.003357484769964339,0.00024987355964878626,0
LotShape,0.0068625624520500085,0.0008510917715185807,0
LandContour,0.004910642208450652,0.002051058551806138,0
Utilities,0.0,0.0,0
LotConfig,0.0063261461232575564,0.0006004399192410605,0
LandSlope,0.006493625009901517,0.00020696998351104343,0
Neighborhood,0.09092111337743863,0.006162421387879412,0
Condition1,0.004570132259793197,0.0003424063990847875,0
Condition2,0.0,0.0,0
BldgType,0.009246958420732115,0.0010477963458548384,0
HouseStyle,0.008611667184010295,0.0005973130900410816,0
OverallQual,0.07851106844678289,0.003912352562430919,0
OverallCond,0.010841063057265947,0.001153112297475678,0
YearBuilt,0.02035831094255411,0.0023099341758971346,0
YearRemodAdd,0.022345096231549528,0.0008299497744561123,0
RoofStyle,0.006233009788118151,0.00039715511122073884,0
RoofMatl,0.0003053627861091612,0.0001422146973398026,0
Exterior1st,0.012093372800301181,0.0003851729055876842,0
Exterior2nd,0.011139959606528,0.0005024741886265035,0
MasVnrType,0.0063007143771653925,0.0009699928881138131,0
MasVnrArea,0.005206761651361429,0.000476292866095707,0
ExterQual,0.03981905099143541,0.00378079753341959,0
ExterCond,0.004084158245175476,0.0004825154664436694,0
Foundation,0.013464027712701564,0.0009027604413546458,0
BsmtQual,0.025667908851350712,0.0016219630645357068,0
BsmtCond,0.006867855916581842,0.0006457095668354903,0
BsmtExposure,0.008381826637349012,0.0005034121456335213,0
BsmtFinType1,0.010680800919984228,0.0006760009004516472,0
BsmtFinSF1,0.016407292959408258,0.0006795994693980135,0
BsmtFinType2,0.0013432107446397184,9.672733705618648e-05,0
BsmtFinSF2,0.0016818070867019596,6.80769472723722e-05,0
BsmtUnfSF,0.0051187385925453455,0.00034563632945124615,0
TotalBsmtSF,0.0685317389643105,0.0028494196029890356,0
Heating,0.0026619301626593663,1.784595526190864e-05,0
HeatingQC,0.004920888439143631,0.00020763504736066767,0
CentralAir,0.029971872865171202,0.0010557533676556663,0
