feature_base,mean_abs_shap
NeighborhoodTier,0.05731800413822958
TotalSF,0.04811373917145779
OverallQual,0.04028631260663123
ExterQual,0.03366250971842849
GrLivArea,0.027526334865569227
KitchenQual,0.027355113406109594
FireplaceQu,0.02318886691427745
GarageCars,0.019354009189419995
TotalBath,0.015686585284563213
FullBath,0.014635732851249857
CentralAir,0.013694511665745035
MSSubClass,0.013191728174487384
BsmtQual,0.010752141552596047
Fireplaces,0.010529027565425298
Foundation,0.00965152448585557
Neighborhood,0.009471014029681072
GarageFinish,0.00930779320223477
MSZoning,0.00869613755450123
1stFlrSF,0.007406163332830985
GarageArea,0.007082312944318353
HouseAge,0.006663280306768289
TotalBsmtSF,0.0061247360382104985
YearBuilt,0.005983586725063803
RemodAge,0.005943894897443318
YearRemodAdd,0.0056480908296552695
BsmtFinSF1,0.005456152268444369
GarageType,0.005393003839004832
SaleCondition,0.005128164552633348
BsmtFullBath,0.0049059322037423025
HouseStyle,0.004090813798728777
BsmtFinType1,0.0040545270345920354
OverallCond,0.004031607218021592
2ndFlrSF,0.0036518563327329156
BldgType,0.0036201728380347983
TotRmsAbvGrd,0.003396813330833782
Exterior1st,0.0033833481001389874
GarageQual,0.0030718479819793272
GarageYrBlt,0.0030466887049752384
BsmtExposure,0.0029141956634942336
HalfBath,0.0027284959584438708
Exterior2nd,0.0026883536421050814
BedroomAbvGr,0.002608306239401351
GarageCond,0.0025877484715069034
LotShape,0.0025530970578388256
LotArea,0.0024996771222372052
Functional,0.002105729653012593
HeatingQC,0.002044470063880992
LandContour,0.0019261205953278106
RoofStyle,0.0019207826909412482
LotConfig,0.0019161787742660759
Condition1,0.0016607584948972677
MoSold,0.001660370785808492
PavedDrive,0.0014720696959312938
LandSlope,0.001439732916013857
SaleType,0.0014161745080615718
MasVnrType,0.001374598374587057
MasVnrArea,0.0012337851208382472
LotFrontage,0.001218310813390816
BsmtUnfSF,0.0011875352180072813
WoodDeckSF,0.0011741020623145795
OpenPorchSF,0.0011736172515626436
BsmtCond,0.0009543352902078907
KitchenAbvGr,0.0008157706813335139
Electrical,0.0006904660960869812
ScreenPorch,0.0006373249891577554
YrSold,0.000553765624601427
ExterCond,0.00048754464936359053
Fence,0.0004409896297727945
EnclosedPorch,0.0003983711055350907
Alley,0.0003559383623428285
IsNew,0.0003103717661036612
RoofMatl,0.00025684351424598334
BsmtFinType2,0.00024197608999259197
BsmtHalfBath,0.00023616499944708027
Heating,0.00023048720867776791
BsmtFinSF2,0.00016504823518393458
3SsnPorch,0.00013567372763184025
LowQualFinSF,0.0001261951357115493
MiscVal,0.0001012526958996308
Condition2,9.092629321916544e-05
MiscFeature,6.440751469681542e-05
PoolQC,2.3762835687139576e-05
PoolArea,2.3449542637841875e-05
Street,1.657553041293177e-05
Utilities,8.380825707660192e-06
